Num_Acc,an,mois,jour,heure,dep,com,agg,int,lum,atm,catr,circ,plan,surf,situ,sexe,age,trajet,typevehicule1,typevehicule2,typevehicule3,equipement1,equipement2,equipement3,equipement_bool,grav_num
200500000030,2005,1,4,19,062,62331,2,1,5,1.0,3,2.0,1.0,1.0,1.0,1.0,58.0,5.0,18.0,,,0.0,,,False,1
200500000034,2005,1,3,10,062,62022,1,1,1,7.0,3,2.0,3.0,1.0,1.0,1.0,20.0,5.0,10.0,,,0.0,,,False,2
200500000078,2005,1,3,13,002,02173,1,9,1,1.0,3,2.0,1.0,1.0,1.0,1.0,71.0,5.0,7.0,,,2.0,,,True,1
200500000093,2005,1,1,13,002,02810,2,1,1,1.0,3,2.0,2.0,1.0,1.0,2.0,51.0,4.0,7.0,,,0.0,,,False,2
200500000170,2005,1,6,18,076,76196,1,1,3,1.0,3,2.0,1.0,1.0,1.0,1.0,74.0,5.0,10.0,,,9.0,,,True,1
200500000246,2005,1,7,18,035,35207,2,6,1,1.0,3,2.0,1.0,1.0,1.0,1.0,46.0,5.0,7.0,,,2.0,,,True,2
200500000260,2005,1,2,16,022,22143,2,2,1,1.0,4,2.0,1.0,1.0,1.0,1.0,12.0,5.0,7.0,,,0.0,,,False,2
200500000273,2005,1,3,17,029,29069,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,11.0,5.0,7.0,,,0.0,,,False,1
200500000282,2005,1,6,10,029,29027,1,1,1,1.0,3,2.0,3.0,1.0,1.0,1.0,58.0,5.0,7.0,,,2.0,,,True,2
200500000287,2005,1,4,15,029,29068,2,1,1,7.0,3,2.0,1.0,1.0,1.0,1.0,76.0,5.0,7.0,,,2.0,,,True,1
200500000291,2005,1,1,17,056,56155,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,61.0,5.0,7.0,,,2.0,,,True,1
200500000295,2005,1,1,17,056,56078,1,1,2,8.0,3,2.0,1.0,2.0,1.0,1.0,73.0,4.0,5.0,,,0.0,,,False,2
200500000304,2005,1,7,14,014,14543,2,3,1,1.0,3,2.0,1.0,1.0,1.0,1.0,51.0,5.0,7.0,,,2.0,,,True,2
200500000322,2005,1,3,22,014,14563,1,1,1,1.0,2,2.0,1.0,1.0,1.0,2.0,71.0,5.0,7.0,,,2.0,,,True,1
200500000329,2005,1,2,19,050,50213,1,1,3,8.0,3,2.0,1.0,2.0,1.0,2.0,73.0,3.0,7.0,,,0.0,,,False,3
200500000342,2005,1,3,15,050,50579,2,1,1,1.0,4,1.0,1.0,1.0,1.0,1.0,54.0,5.0,7.0,,,2.0,,,True,2
200500000345,2005,1,7,16,050,50178,2,1,1,1.0,3,2.0,3.0,1.0,1.0,1.0,58.0,5.0,7.0,,,2.0,,,True,2
200500000402,2005,1,1,22,049,49307,2,1,1,1.0,3,2.0,1.0,1.0,1.0,2.0,18.0,1.0,7.0,,,0.0,,,False,2
200500000403,2005,1,3,15,049,49117,1,1,1,1.0,3,2.0,1.0,1.0,1.0,1.0,56.0,5.0,7.0,,,2.0,,,True,2
200500000438,2005,1,1,12,072,72154,2,1,1,1.0,3,2.0,1.0,1.0,1.0,2.0,81.0,3.0,7.0,,,2.0,,,True,3
200500000453,2005,1,1,12,085,85001,2,1,1,1.0,3,2.0,1.0,1.0,1.0,1.0,81.0,3.0,2.0,,,0.0,,,False,2
200500000471,2005,1,5,18,033,33162,2,9,5,1.0,4,2.0,1.0,1.0,1.0,1.0,56.0,1.0,7.0,,,4.0,,,True,1
200500000543,2005,1,2,13,047,47209,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,75.0,5.0,14.0,,,0.0,,,False,1
200500000553,2005,1,7,18,047,47305,1,1,2,1.0,3,2.0,1.0,1.0,1.0,2.0,44.0,5.0,7.0,,,2.0,,,True,3
200500000563,2005,1,3,11,047,47310,2,1,1,2.0,2,2.0,1.0,2.0,1.0,2.0,82.0,3.0,34.0,,,0.0,,,False,1
200500000585,2005,1,7,12,086,86297,1,1,3,1.0,3,2.0,1.0,1.0,1.0,1.0,50.0,5.0,7.0,,,0.0,,,False,2
200500000623,2005,1,6,13,017,17486,2,1,1,8.0,4,2.0,1.0,2.0,1.0,2.0,81.0,3.0,7.0,,,0.0,,,False,1
200500000744,2005,1,7,11,032,32244,1,1,1,1.0,3,2.0,1.0,1.0,1.0,1.0,34.0,5.0,7.0,,,2.0,,,True,2
200500000748,2005,1,3,13,046,46251,2,1,1,1.0,4,4.0,3.0,1.0,1.0,1.0,80.0,5.0,7.0,,,0.0,,,False,2
200500000800,2005,1,4,16,069,69074,1,2,1,9.0,3,2.0,3.0,2.0,1.0,1.0,52.0,5.0,7.0,,,0.0,,,False,2
200500000811,2005,1,6,15,069,69050,1,1,1,1.0,3,2.0,2.0,1.0,5.0,1.0,57.0,5.0,5.0,,,2.0,,,True,1
200500000811,2005,1,6,15,069,69050,1,1,1,1.0,3,2.0,2.0,1.0,5.0,1.0,49.0,5.0,5.0,,,2.0,,,True,1
200500000844,2005,1,6,15,007,07198,1,1,1,1.0,3,2.0,2.0,1.0,1.0,1.0,52.0,5.0,15.0,,,2.0,,,True,1
200500000874,2005,1,1,17,038,38545,2,1,1,1.0,3,2.0,1.0,1.0,1.0,1.0,72.0,5.0,7.0,,,2.0,,,True,3
200500000885,2005,1,6,16,038,38332,1,1,1,2.0,3,2.0,2.0,2.0,1.0,1.0,42.0,5.0,7.0,,,2.0,,,True,2
200500000920,2005,1,6,14,042,42006,2,1,1,7.0,3,2.0,1.0,1.0,1.0,1.0,68.0,5.0,7.0,,,0.0,,,False,2
200500000920,2005,1,6,14,042,42006,2,1,1,7.0,3,2.0,1.0,1.0,1.0,2.0,52.0,5.0,7.0,,,2.0,,,True,1
200500000953,2005,1,2,12,074,74236,2,1,1,2.0,3,2.0,2.0,2.0,3.0,1.0,78.0,3.0,7.0,,,0.0,,,False,1
200500001035,2005,1,3,18,057,57288,2,1,1,7.0,3,4.0,2.0,1.0,1.0,1.0,55.0,5.0,7.0,,,0.0,,,False,1
200500001046,2005,1,5,15,057,57690,2,6,1,8.0,3,2.0,2.0,1.0,1.0,1.0,44.0,5.0,7.0,,,2.0,,,True,1
200500001117,2005,1,2,13,067,67345,2,1,1,1.0,4,2.0,1.0,1.0,1.0,2.0,81.0,5.0,7.0,,,0.0,,,False,1
200500001129,2005,1,2,19,067,67485,1,1,3,1.0,3,2.0,1.0,1.0,1.0,1.0,32.0,5.0,17.0,,,0.0,,,False,1
200500001159,2005,1,1,18,068,68154,2,1,5,1.0,3,3.0,1.0,1.0,1.0,1.0,51.0,1.0,7.0,,,2.0,,,True,2
200500001174,2005,1,2,15,051,51024,1,1,1,7.0,3,2.0,1.0,1.0,1.0,2.0,71.0,5.0,18.0,,,0.0,,,False,3
200500001188,2005,1,6,18,051,51048,1,1,3,1.0,3,2.0,1.0,1.0,1.0,1.0,15.0,5.0,10.0,,,9.0,,,True,3
200500001213,2005,1,5,12,010,10231,1,1,1,1.0,2,2.0,1.0,1.0,1.0,2.0,21.0,3.0,7.0,,,0.0,,,False,2
200500001215,2005,1,2,12,010,10323,2,6,1,1.0,4,2.0,1.0,1.0,1.0,1.0,16.0,2.0,7.0,,,0.0,,,False,2
200500001228,2005,1,2,16,052,52490,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,17.0,9.0,7.0,,,0.0,,,False,2
200500001232,2005,1,5,17,052,52331,2,1,5,1.0,3,2.0,1.0,1.0,1.0,1.0,56.0,1.0,7.0,,,4.0,,,True,2
200500001267,2005,1,1,16,071,71428,1,9,1,1.0,3,2.0,1.0,1.0,1.0,1.0,75.0,5.0,7.0,,,0.0,,,False,1
200500001307,2005,1,4,19,089,89440,1,1,3,1.0,3,2.0,1.0,1.0,1.0,1.0,57.0,1.0,12.0,,,2.0,,,True,0
200500001307,2005,1,4,19,089,89440,1,1,3,1.0,3,2.0,1.0,1.0,1.0,1.0,49.0,4.0,8.0,,,0.0,,,False,1
200500001313,2005,1,2,15,025,25097,1,6,1,7.0,3,1.0,2.0,1.0,1.0,1.0,36.0,5.0,7.0,,,2.0,,,True,1
200500001338,2005,1,3,13,070,70310,2,1,1,1.0,3,2.0,1.0,1.0,1.0,1.0,57.0,1.0,10.0,,,0.0,,,False,2
200500001438,2005,1,2,18,083,83086,1,1,3,1.0,4,2.0,1.0,2.0,1.0,1.0,54.0,4.0,7.0,,,9.0,,,True,1
200500001468,2005,1,6,14,084,84088,1,1,1,1.0,3,2.0,1.0,1.0,1.0,1.0,77.0,5.0,7.0,,,2.0,,,True,2
200500001482,2005,1,2,12,034,34145,2,9,1,1.0,9,2.0,1.0,1.0,1.0,2.0,59.0,1.0,7.0,,,0.0,,,False,1
200500001519,2005,1,7,14,011,11206,2,1,1,1.0,3,2.0,1.0,1.0,1.0,1.0,71.0,5.0,7.0,,,0.0,,,False,1
200500001606,2005,1,4,11,078,78230,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,62.0,5.0,7.0,,,0.0,,,False,2
200500001671,2005,1,2,16,045,45082,1,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,85.0,5.0,7.0,,,0.0,,,False,3
200500001727,2005,1,1,20,036,36034,1,1,3,5.0,3,2.0,1.0,1.0,1.0,1.0,54.0,4.0,7.0,,,0.0,,,False,2
200500001930,2005,1,6,15,095,95042,1,1,1,1.0,9,4.0,1.0,1.0,5.0,1.0,59.0,5.0,2.0,,,0.0,,,False,0
200500001943,2005,1,5,14,014,14008,1,1,1,1.0,3,2.0,1.0,1.0,1.0,1.0,75.0,5.0,7.0,,,2.0,,,True,2
200500002018,2005,1,3,15,056,56097,1,3,1,1.0,2,1.0,1.0,1.0,1.0,1.0,59.0,5.0,7.0,,,2.0,,,True,2
200500002040,2005,1,2,21,002,02691,2,1,5,2.0,4,2.0,1.0,2.0,1.0,1.0,16.0,5.0,7.0,,,4.0,,,True,2
200500002047,2005,1,6,11,003,03101,2,2,1,1.0,4,2.0,1.0,1.0,1.0,2.0,69.0,5.0,7.0,,,9.0,,,True,1
200500002114,2005,1,3,13,006,06029,2,1,1,1.0,2,3.0,1.0,1.0,1.0,1.0,49.0,1.0,2.0,,,2.0,,,True,2
200500002212,2005,1,2,18,006,06088,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,39.0,9.0,10.0,,,2.0,,,True,1
200500002215,2005,1,2,13,006,06088,2,2,1,1.0,4,1.0,1.0,1.0,1.0,1.0,33.0,1.0,7.0,,,9.0,,,True,1
200500002238,2005,1,7,14,006,06088,2,1,1,1.0,2,3.0,1.0,1.0,1.0,1.0,65.0,5.0,7.0,,,2.0,,,True,2
200500002268,2005,1,6,16,006,06088,2,1,1,1.0,4,3.0,1.0,1.0,1.0,1.0,54.0,5.0,7.0,,,2.0,,,True,1
200500002302,2005,1,7,11,007,07281,2,1,1,1.0,3,2.0,4.0,2.0,1.0,1.0,26.0,5.0,7.0,,,2.0,,,True,2
200500002308,2005,1,6,19,008,08105,2,5,5,1.0,3,2.0,3.0,1.0,1.0,1.0,17.0,5.0,7.0,,,4.0,,,True,2
200500002315,2005,1,2,13,010,10387,2,3,1,1.0,2,2.0,1.0,1.0,1.0,1.0,29.0,5.0,7.0,,,4.0,,,True,1
200500002332,2005,1,3,13,012,12145,2,3,1,1.0,4,2.0,1.0,1.0,4.0,1.0,23.0,1.0,30.0,,,2.0,,,True,0
200500002336,2005,1,3,18,013,13001,2,1,5,1.0,4,3.0,1.0,1.0,1.0,1.0,17.0,9.0,7.0,,,2.0,,,True,1
200500002348,2005,1,5,12,013,13001,2,1,1,1.0,4,4.0,1.0,1.0,1.0,1.0,33.0,4.0,7.0,,,2.0,,,True,1
200500002348,2005,1,5,12,013,13001,2,1,1,1.0,4,4.0,1.0,1.0,1.0,1.0,20.0,4.0,7.0,,,2.0,,,True,2
200500002359,2005,1,1,11,013,13005,2,1,1,1.0,3,2.0,1.0,1.0,1.0,1.0,83.0,5.0,7.0,,,9.0,,,True,2
200500002439,2005,1,1,16,013,13055,2,1,1,1.0,4,1.0,1.0,2.0,1.0,1.0,14.0,5.0,7.0,,,2.0,,,True,2
200500002450,2005,1,5,17,013,13055,2,1,2,1.0,4,2.0,1.0,1.0,1.0,1.0,15.0,5.0,7.0,,,9.0,,,True,2
200500002622,2005,1,3,13,013,13039,2,1,1,1.0,4,2.0,2.0,1.0,1.0,1.0,16.0,2.0,10.0,,,2.0,,,True,2
200500002647,2005,1,2,15,014,14118,2,1,1,1.0,4,2.0,1.0,1.0,1.0,2.0,45.0,9.0,7.0,,,4.0,,,True,1
200500002670,2005,1,3,18,014,14333,2,9,5,1.0,4,3.0,1.0,1.0,1.0,1.0,28.0,3.0,2.0,,,9.0,,,True,2
200500002686,2005,1,2,17,017,17299,2,6,5,2.0,4,2.0,1.0,2.0,1.0,1.0,52.0,1.0,7.0,,,9.0,,,True,2
200500002691,2005,1,4,17,017,17300,2,1,5,1.0,4,1.0,1.0,2.0,1.0,1.0,31.0,1.0,2.0,,,9.0,,,True,1
200500002696,2005,1,1,18,017,17300,2,1,5,1.0,4,1.0,1.0,1.0,1.0,2.0,21.0,2.0,4.0,,,9.0,,,True,1
200500002725,2005,1,1,10,017,17415,2,6,1,7.0,2,4.0,1.0,1.0,1.0,1.0,57.0,5.0,10.0,,,4.0,,,True,1
